"Latest: Time (s)","Latest: Force (N)"
0,1.59555386868
0.1,47.3800287105
0.2,130.428041776
0.3,177.864650411
0.4,198.94633025
0.5,207.116471337
0.6,212.389720293
0.7,220.390121606
0.8,222.936218205
0.9,224.203608512
1,225.108887303
1.1,226.568649353
1.2,226.025482079
1.3,224.565720028
1.4,218.749303798
1.5,218.206136524
1.6,220.933288881
1.7,222.562790704
1.8,223.841496996
1.9,223.841496996
2,218.56824804
2.1,213.113943326
2.2,212.570776051
2.3,205.668025272
2.4,206.392248304
2.5,203.302984431
2.6,184.586345432
2.7,184.948456949
2.8,200.575832074
2.9,213.668426585
3,226.025482079
3.1,234.557734681
3.2,239.649927879
3.3,246.914790175
3.4,241.471801446
3.5,233.109288616
3.6,160.958568994
3.7,36.3016795088
3.8,5.77115229098
3.9,1.95766538498
4,1.2221263675
4.1,1.40318212565
4.2,1.2221263675
4.3,1.04107060935
4.4,1.04107060935
4.5,0.860014851205
4.6,1.04107060935
4.7,1.04107060935
4.8,1.2221263675
4.9,1.2221263675
5,1.2221263675
5.1,1.2221263675
5.2,1.2221263675
5.3,1.2221263675
5.4,1.2221263675
5.5,1.40318212565
5.6,1.2221263675
