"Latest: Time (s)","Latest: Force (N)","Run 1: Time (s)","Run 1: Force (N)","Run 2: Time (s)","Run 2: Force (N)"
0,1.07675846666,0,1.29211015999,0,1.07675846666
0.1,2.58422031999,0.1,9.05823060079,0.1,0.861406773329
0.2,4.09168217331,0.2,42.7338516456,0.2,0.861406773329
0.3,4.52238555998,0.3,112.252070149,0.3,0.861406773329
0.4,8.19682382746,0.4,181.985640347,0.4,1.07675846666
0.5,18.5606240691,0.5,229.6994999,0.5,1.50746185333
0.6,28.7090726173,0.6,259.283438772,0.6,4.73773725331
0.7,38.2114660856,0.7,268.126317679,0.7,11.8712620949
0.8,53.9725181414,0.8,267.049559213,0.8,25.2499860432
0.9,74.6866591438,0.9,265.972800746,0.9,45.3315314464
1,102.547784469,1,266.188152439,1,77.2843389446
1.1,133.410374019,1.1,263.590472639,1.1,118.739539911
1.2,161.258039863,1.2,257.762517438,1.2,147.663964222
1.3,176.588388532,1.3,253.226672397,1.3,163.640367971
1.4,195.377823776,1.4,259.498790465,1.4,179.61677172
1.5,212.646337685,1.5,263.375120945,1.5,186.306133694
1.6,221.718027766,1.6,267.910965986,1.6,194.516417002
1.7,217.828237806,1.7,269.633779533,1.7,207.033734177
1.8,219.335699659,1.8,269.203076146,1.8,219.120347966
1.9,201.851834056,1.9,261.436955705,1.9,222.57943454
2,90.0170078129,2,212.430985991,2,220.197106432
2.1,31.2932929373,2.1,178.97071664,2.1,220.412458126
2.2,11.2252070149,2.2,157.16635769,2.2,234.235344941
2.3,3.66097878665,2.3,44.9008280598,2.3,232.727883088
2.4,1.29211015999,2.4,6.4740102808,2.4,183.506561681
2.5,0.646055079997,2.5,1.29211015999,2.5,159.535226317
2.6,0.646055079997,2.6,0.861406773329,2.6,119.170243298
2.7,0.646055079997,2.7,0.646055079997,2.7,36.2598413648
2.8,0.430703386664,2.8,0.430703386664,2.8,7.98147213412
2.9,0.215351693332,2.9,0.646055079997,2.9,2.36886862665
3,0.215351693332,3,0.430703386664,3,0.646055079997
3.1,0.215351693332,3.1,0.430703386664,3.1,0.430703386664
,,3.2,0.430703386664,3.2,0.430703386664
,,3.3,0.430703386664,3.3,0.215351693332
,,3.4,0.430703386664,3.4,0.215351693332
,,3.5,0.430703386664,3.5,0.430703386664
,,3.6,0.430703386664,3.6,0.430703386664
,,3.7,0.430703386664,3.7,0.430703386664
,,3.8,0.430703386664,3.8,0.430703386664
,,3.9,0.430703386664,3.9,0.430703386664
