"Latest: Time (s)","Latest: Force (N)"
0,4.95308894664
0.1,77.9303940246
0.2,199.038802562
0.3,269.418427839
0.4,293.605114897
0.5,301.155883644
0.6,301.586587031
0.7,307.199190538
0.8,311.519683886
0.9,316.055528927
1,314.548067073
1.1,310.658277113
1.2,307.643353406
1.3,309.796870339
1.4,315.62482554
1.5,322.098835821
1.6,327.280735942
1.7,329.663064049
1.8,322.098835821
1.9,312.381090659
2,307.643353406
2.1,308.074056793
2.2,305.476376992
2.3,278.705469614
2.4,132.548967246
2.5,37.3365998315
2.6,17.2685139091
2.7,7.76612044079
2.8,2.79957201332
2.9,1.07675846666
3,0.215351693332
3.1,0
3.2,0.215351693332
3.3,0
3.4,0.215351693332
3.5,0.215351693332
