"Latest: Time (s)","Latest: Force (N)","Run 1: Time (s)","Run 1: Force (N)","Run 2: Time (s)","Run 2: Force (N)"
0,10.9765053377,0,1.44844606519,0,1.08633454889
0.1,35.690616325,0.1,11.9836279924,0.1,1.81055758148
0.2,54.4072553236,0.2,33.9819026075,0.2,2.71583637223
0.3,63.1318796694,0.3,51.238779556,0.3,8.3511968446
0.4,68.7672401418,0.4,62.871612017,0.4,27.2488916013
0.5,73.4860058385,0.5,70.1364743127,0.5,47.6063484082
0.6,77.4805485026,0.6,74.1423329618,0.6,62.6905562589
0.7,81.6674629098,0.7,76.4960578177,0.7,68.5069724894
0.8,80.7508681342,0.8,76.6771135759,0.8,73.4067939443
0.9,80.7508681342,0.9,76.3150020596,0.9,79.2232101748
1,82.3916859424,1,74.3233887199,1,80.5019164667
1.1,80.9432398772,1.1,72.6825709117,1.1,84.677514889
1.2,79.4834778272,1.2,73.2257381862,1.2,87.0425557299
1.3,77.8539760038,1.3,69.4122512802,1.3,85.7638494379
1.4,76.7563254701,1.4,61.9663332263,1.4,87.223611488
1.5,77.4805485026,1.5,66.1419316486,1.5,86.3183326973
1.6,77.1184369863,1.6,67.7827494568,1.6,83.0480130657
1.7,79.6645335853,1.7,66.5040431649,1.7,84.3154033727
1.8,79.4834778272,1.8,67.2282661975,1.8,84.677514889
1.9,78.5781990364,1.9,67.4093219556,1.9,81.9503625319
2,79.1213663109,2,68.1448609731,2,81.7693067738
2.1,80.5698123761,2.1,67.963805215,2.1,83.0480130657
2.2,78.035031762,2.2,65.5987643742,2.2,82.4935298064
2.3,78.3971432783,2.3,67.2282661975,2.3,82.8556413227
2.4,52.2232702409,2.4,66.3229874067,2.4,81.9503625319
2.5,6.78959093057,2.5,62.871612017,2.5,80.6829722249
2.6,-2.47820068966,2.6,63.4147792915,2.6,81.4071952575
2.7,-2.47820068966,2.7,64.8745413416,2.7,80.1398049504
2.8,-2.29714493151,2.8,59.7823481436,2.8,78.6800429004
2.9,-2.47820068966,2.9,58.5149578366,2.9,80.1398049504
3,-2.84031220595,3,61.9663332263,3,80.3208607086
3.1,-3.0213679641,3.1,61.7852774682,3.1,79.7663774493
3.2,-2.84031220595,3.2,59.9634039018,3.2,80.5019164667
3.3,-2.47820068966,3.3,60.1444596599,3.3,79.2232101748
3.4,-1.74266167218,3.4,61.9663332263,3.4,78.8610986585
3.5,-1.92371743033,3.5,63.2337235333,3.5,80.1398049504
3.6,-2.84031220595,3.6,64.6934855834,3.6,78.8610986585
3.7,-2.47820068966,3.7,66.3229874067,3.7,79.2232101748
,,3.8,71.9583478791,3.8,78.6800429004
,,3.9,75.2286675107,3.9,77.4126525933
,,4,73.044682428,4,73.4067939443
,,4.1,51.0577237979,4.1,72.5015151536
,,4.2,11.440460718,4.2,70.6909575721
,,4.3,0,4.3,70.498585829
,,4.4,-0.192371743033,4.4,71.0530690884
,,4.5,-0.55448325933,4.5,70.3175300709
,,4.6,-0.373427501181,4.6,67.963805215
,,4.7,-0.373427501181,4.7,65.5987643742
,,4.8,-0.192371743033,4.8,70.3175300709
,,4.9,0,4.9,70.498585829
,,5,0.181055758148,5,72.5015151536
,,5.1,-0.55448325933,5.1,77.9558198678
,,5.2,-0.55448325933,5.2,82.3124740482
,,5.3,-0.55448325933,5.3,76.8694853189
,,5.4,-0.55448325933,5.4,28.8897094096
,,5.5,-0.373427501181,5.5,4.35665418045
,,,,5.6,-0.373427501181
,,,,5.7,0.181055758148
,,,,5.8,-0.192371743033
,,,,5.9,-0.192371743033
,,,,6,-0.55448325933
,,,,6.1,0.181055758148
,,,,6.2,0
,,,,6.3,-0.192371743033
,,,,6.4,-0.373427501181
,,,,6.5,-0.373427501181
,,,,6.6,-0.55448325933
,,,,6.7,-0.192371743033
,,,,6.8,-0.373427501181
,,,,6.9,-0.373427501181
,,,,7,-0.55448325933
,,,,7.1,0
,,,,7.2,0
,,,,7.3,-0.192371743033
,,,,7.4,-0.192371743033
,,,,7.5,0
,,,,7.6,0
