"Latest: Time (s)","Latest: Force (N)","Run 1: Time (s)","Run 1: Force (N)","Run 2: Time (s)","Run 2: Force (N)"
0,1.26739030704,0,1.2221263675,0,8.10224517714
0.1,4.89982145489,0.1,0.860014851205,0.1,40.8054414927
0.2,21.9869586302,0.2,0.31684757676,0.2,66.2550914974
0.3,33.0766238167,0.3,0.31684757676,0.3,83.8740799623
0.4,57.2362515447,0.4,0.31684757676,0.4,87.6988828531
0.5,74.5044444781,0.5,0.135791818611,0.5,92.7797600662
0.6,83.0480130657,0.6,0.135791818611,0.6,96.9666744734
0.7,87.5857230043,0.7,1.2221263675,0.7,99.3203993293
0.8,87.9478345206,0.8,1.2221263675,0.8,97.3287859897
0.9,89.4075965707,0.9,1.95766538498,0.9,93.8774106
1,94.8619012849,1,18.6713750591,1,92.4176485499
1.1,99.9427784979,1.1,45.7505268871,1.1,93.1418715825
1.2,101.945707822,1.2,67.1943182428,1.2,94.6016336326
1.3,101.764652064,1.3,86.0920129996,1.3,93.6963548418
1.4,99.0374997072,1.4,96.4461391687,1.4,95.6879681814
1.5,98.3132766746,1.5,99.5354030421,1.5,98.2340647804
1.6,99.9427784979,1.6,106.630525565,1.6,98.5961762967
1.7,97.589053642,1.7,109.900845196,1.7,99.1393435712
1.8,93.9453065093,1.8,110.806123987,1.8,102.409663203
1.9,95.042957043,1.9,111.349291261,1.9,100.780161379
2,95.4050685593,2,108.07897163,2,99.8748825886
2.1,93.0400277185,2.1,106.630525565,2.1,98.958287813
2.2,96.8535146245,2.2,104.989707756,2.2,102.590718961
2.3,103.394153888,2.3,104.265484724,2.3,101.142272896
2.4,103.394153888,2.4,102.805722674,2.4,98.7772320549
2.5,102.307819339,2.5,102.624666916,2.5,100.961217138
2.6,79.7776934342,2.6,101.900443883,2.6,101.323328654
2.7,12.5381112518,2.7,101.538332367,2.7,99.6825108456
2.8,-2.00292932452,2.8,100.814109334,2.8,100.599105621
2.9,-2.00292932452,2.9,100.451997818,2.9,102.228607445
3,-1.64081780822,3,100.451997818,3,96.7856187152
3.1,-0.362111516297,3.1,101.900443883,3.1,94.4205778744
3.2,-0.543167274445,3.2,99.5354030421,3.2,94.7826893907
3.3,-0.724223032594,3.3,98.0869569769,3.3,95.6879681814
3.4,0.362111516297,3.4,97.1816781862,3.4,98.2340647804
3.5,0.543167274445,3.5,96.6271949268,3.5,90.9692024847
,,3.6,100.995165092,3.6,88.0609943694
,,3.7,102.081499641,3.7,95.8690239396
,,3.8,99.1732915258,3.8,90.0526077091
,,3.9,99.1732915258,3.9,88.9662731602
,,4,103.722317449,4,92.598704308
,,4.1,103.179150175,4.1,93.8774106
,,4.2,88.0949423241,4.2,93.5039830988
,,4.3,86.2730687577,4.3,43.3515380917
,,4.4,69.7404148418,4.4,1.92371743033
,,4.5,9.94675071328,4.5,-2.08214121871
,,4.6,-2.41030478035,4.6,-2.8063642513
,,4.7,-2.77241629665,4.7,-2.444252735
,,4.8,-2.2292490222,4.8,-0.803434926784
,,4.9,-1.31265424658,4.9,-1.16554644308
,,5,-0.950542730279,5,-0.622379168635
,,5.1,-1.13159848843,5.1,-0.984490684932
,,5.2,-1.68608174776,5.2,-1.90108546056
,,5.3,-2.41030478035,5.3,-2.8063642513
,,5.4,-2.77241629665,5.4,-2.62530849315
,,5.5,-2.77241629665,5.5,-1.72002970241
,,5.6,-1.31265424658,5.6,-1.90108546056
,,,,5.7,-1.52765795938
,,,,5.8,-1.34660220123
,,,,5.9,-1.52765795938
